Object property                Domain                         Range                          File                          
RO_0002570                     BFO_0000040                    BFO_0000040                    agro.owl                      
RO_0002576                     CARO_0000003                   CARO_0000003                   agro.owl                      
RO_0002595                     BFO_0000040                    BFO_0000015                    agro.owl                      
RO_0003000                     BFO_0000040                    BFO_0000040                    agro.owl                      
RO_0003001                     BFO_0000040                    BFO_0000040                    agro.owl                      
RO_0004028                     BFO_0000017                    BFO_0000040                    agro.owl                      
RO_0009501                     BFO_0000017                    BFO_0000015                    agro.owl                      
hasPermissionProcedure         AuthorizationRealm             Permission_Procedure           Authorization.owl             
requiresAuthorizationRealm     dataset                        AuthorizationRealm             Authorization.owl             
content                        Work                           Content                        bibframe.owl                  
carrier                        Instance                       Carrier                        bibframe.owl                  
originPlace                    Work                           Place                          bibframe.owl                  
musicMedium                    Work                           MusicMedium                    bibframe.owl                  
instrument                     Work                           MusicInstrument                bibframe.owl                  
ensemble                       Work                           MusicEnsemble                  bibframe.owl                  
voice                          Work                           MusicVoice                     bibframe.owl                  
geographicCoverage             Work                           GeographicCoverage             bibframe.owl                  
grantingInstitution            Dissertation                   Agent                          bibframe.owl                  
projection                     Cartographic                   Projection                     bibframe.owl                  
provisionActivity              Instance                       ProvisionActivity              bibframe.owl                  
extent                         Instance                       Extent                         bibframe.owl                  
baseMaterial                   Instance                       BaseMaterial                   bibframe.owl                  
appliedMaterial                Instance                       AppliedMaterial                bibframe.owl                  
emulsion                       Instance                       Emulsion                       bibframe.owl                  
mount                          Instance                       Mount                          bibframe.owl                  
productionMethod               Instance                       ProductionMethod               bibframe.owl                  
generation                     Instance                       Generation                     bibframe.owl                  
layout                         Instance                       Layout                         bibframe.owl                  
bookFormat                     Instance                       BookFormat                     bibframe.owl                  
fontSize                       Instance                       FontSize                       bibframe.owl                  
polarity                       Instance                       Polarity                       bibframe.owl                  
reductionRatio                 Instance                       ReductionRatio                 bibframe.owl                  
soundCharacteristic            Instance                       SoundCharacteristic            bibframe.owl                  
projectionCharacteristic       Instance                       ProjectionCharacteristic       bibframe.owl                  
videoCharacteristic            Instance                       VideoCharacteristic            bibframe.owl                  
digitalCharacteristic          Instance                       DigitalCharacteristic          bibframe.owl                  
systemRequirement              Instance                       SystemRequirement              bibframe.owl                  
