#! Version: 24/05/2019_17:05:42

Algorithm: AgglomerativeClustering
Small clusters = 6 (with proportion < 2.50%)
Total clusters = 20
67         4          0.38       show      
68         19         1.83       originalStartPoint
69         9          0.87       lastWin   
70         1          0.10       artery    
71         24         2.31       lastFamilyMember
72         7          0.67       newspaper 
73         1          0.10       olivierAward
74         10         0.96       chiefEditor
75         5          0.48       mergedIntoParty
76         2          0.19       thumbnail 
77         12         1.15       occupation
78         1          0.10       altitude  
79         7          0.67       aircraftPatrol
80         6          0.58       hasAbsorbedMunicipality
81         3          0.29       dean      
82         12         1.15       friend    
83         3          0.29       solventWithBadSolubility
84         8          0.77       mouthMountain
85         4          0.38       settlement
86         1          0.10       award     
87         1          0.10       canton    
88         13         1.25       rocket    
89         1          0.10       lunarRover
90         3          0.29       chancellor
91         3          0.29       agglomerationDemographics
92         3          0.29       nationality
93         3          0.29       silCode   
94         24         2.31       honours   
95         8          0.77       musicSubgenre
96         1          0.10       crest     
97         1          0.10       locomotive
98         4          0.38       literaryGenre
99         4          0.38       branchTo  
100        2          0.19       drainsFrom
101        1          0.10       almaMater 
102        20         1.92       hasInsidePlace
103        1          0.10       dynasty   
104        6          0.58       rightChild
105        4          0.38       draftTeam 
106        2          0.19       geneLocation
107        5          0.48       patron    
108        4          0.38       vicePrincipal
109        1          0.10       explorer  
110        1          0.10       regentOf  
111        1          0.10       commune   
112        2          0.19       cemetery  
113        3          0.29       anthem    
114        7          0.67       owningOrganisation
115        2          0.19       minority  
116        4          0.38       largestSettlement
117        1          0.10       ingredient
118        12         1.15       officerInCharge
119        2          0.19       parish    
120        5          0.48       nextMission
121        3          0.29       era       
122        18         1.73       leader    
123        20         1.92       associationOfLocalGovernment
124        1          0.10       torchBearer
125        11         1.06       religiousHeadLabel
126        5          0.48       version   
127        2          0.19       channel   
128        1          0.10       prefecture
129        8          0.77       foundedBy 
130        1          0.10       geminiAward
131        5          0.48       politicGovernmentDepartment
132        1          0.10       cesarAward
133        1          0.10       emmyAward 
134        1          0.10       constellation
135        10         0.96       march     
136        9          0.87       athleticsDiscipline
137        26         2.50       meetingBuilding
138        2          0.19       curator   
139        14         1.35       mostWins  
140        1          0.10       hasAnnotation
141        1          0.10       patent    
142        1          0.10       arielAward
143        1          0.10       mythology 
144        5          0.48       subTribus 
145        1          0.10       alumni    
146        1          0.10       gaudiAward
147        8          0.77       sourceMountain
148        2          0.19       influenced
149        10         0.96       officialOpenedBy
150        5          0.48       format    
151        9          0.87       championInSingleMale
152        1          0.10       baftaAward
153        5          0.48       follows   
154        4          0.38       coach     
155        9          0.87       congressionalDistrict
156        7          0.67       capital   
157        5          0.48       school    
158        16         1.54       olympicGames
159        13         1.25       institution
160        3          0.29       campus    
161        4          0.38       organ     
162        19         1.83       parliament
163        1          0.10       fossil    
164        1          0.10       owns      
165        1          0.10       denomination
166        1          0.10       compiler  
