#! Version: 07/06/2019_16:37:26

#! Note: Asym = Asymmetric, Func = Functional, InFu = InverseFunctional, Irre = Irreflexive, Refl = Reflexive, Symm = Symmetric, Tran = Transitive, DoIns = Nb Domain Instances, RaIns = Nb Range Instances 

#! Columns: 
| Filename                            | ObjectProperty                      | Domain                              | Range                               | Asym? | Func? | InFu? | Irre? | Refl? | Symm? | Tran? | DoIns | RaIns | InverseOf                           | SubPropertyOf                       | 
| 2016_005_112_465537.owl             | hasContractor                       | Organization                        | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 2     | isContractorOf                      | hasExternalEmployee                 | 
| 2016_005_112_465537.owl             | hasFamilyRelation                   | Person                              | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 2     | isFamilyRelationOf                  | hasRelation                         | 
| 2016_005_112_465537.owl             | isUppermanagementEmployeeOf         | Person                              | Organization                        | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 3     |                                     | isEmployeeOf                        | 
| 2016_005_112_465537.owl             | hasVictimOrganization               | Event                               | Organization                        | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | isVictimOrganizationOf              | hasEventRelation                    | 
| 2016_005_112_465537.owl             | isSubcontractorOf                   | Person                              | Organization                        | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 3     |                                     | isExternalEmployeeOf                | 
| 2016_005_112_465537.owl             | hasFather                           | Thing                               | Thing                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | isFatherOf                          | hasFamilyRelation                   | 
| 2016_005_112_465537.owl             | isGirlfriendOf                      | Person                              | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 2     |                                     | isFriendRelationOf                  | 
| 2016_005_112_465537.owl             | isAdministrativeAssistantOf         | Person                              | Organization                        | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 3     |                                     | isEmployeeOf                        | 
| 2016_005_112_465537.owl             | hasSecurityGuard                    | Organization                        | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 2     | isSecurityGuardOf                   | hasSecurityEmployee                 | 
| 2016_005_112_465537.owl             | hasWife                             | Person                              | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 2     | isWifeOf                            | hasSpouse                           | 
| 2016_005_112_465537.owl             | hasChiefFinancialOfficer            | Organization                        | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 2     | isChiefFinancialOfficerOf           | hasUppermanagementEmployee          | 
| 2016_005_112_465537.owl             | hasBeneficiaryOrganization          | Event                               | Organization                        | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | isBeneficiaryOrganizationOf         | hasEventRelation                    | 
| 2016_005_112_465537.owl             | isAnalystOf                         | Person                              | Organization                        | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 3     |                                     | isTechnicalEmployeeOf               | 
| 2016_005_112_465537.owl             | isVictimOrganizationOf              | Organization                        | Event                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 0     |                                     | isEventRelationOf                   | 
| 2016_005_112_465537.owl             | isCustomerServiceRepresentativeOf   | Person                              | Organization                        | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 3     |                                     | isRepresentativeOf                  | 
| 2016_005_112_465537.owl             | hasSalesEmployee                    | Organization                        | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 2     | isSalesEmployeeOf                   | hasEmployee                         | 
| 2016_005_112_465537.owl             | isSisterOf                          | Person                              | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 2     |                                     | isFamilyRelationOf                  | 
| 2016_005_112_465537.owl             | hasAdministrativeAssistant          | Organization                        | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 2     | isAdministrativeAssistantOf         | hasEmployee                         | 
| 2016_005_112_465537.owl             | isMotherOf                          | Person                              | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 2     |                                     | isFamilyRelationOf                  | 
| 2016_005_112_465537.owl             | isEventRelationOf                   | Actor                               | Thing                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     |                                     | isRelationOf                        | 
| 2016_005_112_465537.owl             | isNetworkAdministratorOf            | Person                              | Organization                        | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 3     |                                     | isTechnicalEmployeeOf               | 
| 2016_005_112_465537.owl             | startedBy                           | TemporalThing                       | Thing                               | 0     | 0     | 0     | 0     | 0     | 0     | 1     | 0     | 0     | starts                              | temporallyRelatedTo                 | 
| 2016_005_112_465537.owl             | endMeetsBeginningOf                 | TemporalThing                       | Thing                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | startMeetsEndingOf                  | temporallyRelatedTo                 | 
| 2016_005_112_465537.owl             | isConsultantOf                      | Actor                               | Actor                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     |                                     | isWorkRelationOf                    | 
| 2016_005_112_465537.owl             | hasEducationEmployee                | Organization                        | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 2     | isEducationEmployeeOf               | hasEmployee                         | 
| 2016_005_112_465537.owl             | isChiefFinancialOfficerOf           | Person                              | Organization                        | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 3     |                                     | isUppermanagementEmployeeOf         | 
| 2016_005_112_465537.owl             | isRetailerOf                        | Person                              | Organization                        | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 3     |                                     | isSalesEmployeeOf                   | 
| 2016_005_112_465537.owl             | hasInstrument                       | Action                              | Asset                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     |                                     |                                     | 
| 2016_005_112_465537.owl             | isSpouseOf                          | Person                              | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 2     |                                     | isFamilyRelationOf                  | 
| 2016_005_112_465537.owl             | isExternalEmployeeOf                | Person                              | Organization                        | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 3     |                                     | isEmployeeOf                        | 
| 2016_005_112_465537.owl             | isBoyfriendOf                       | Person                              | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 2     |                                     | isFriendRelationOf                  | 
| 2016_005_112_465537.owl             | isCustomerOf                        | Actor                               | Actor                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     |                                     | isWorkRelationOf                    | 
| 2016_005_112_465537.owl             | hasEmployee                         | Organization                        | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 2     | isEmployeeOf                        | hasWorkRelation                     | 
| 2016_005_112_465537.owl             | takesPlaceBefore                    | TemporalThing                       | Thing                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     |                                     | temporallyRelatedTo                 | 
| 2016_005_112_465537.owl             | isHusbandOf                         | Person                              | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 2     |                                     | isSpouseOf                          | 
| 2016_005_112_465537.owl             | finishedBy                          | TemporalThing                       | Thing                               | 0     | 0     | 0     | 0     | 0     | 0     | 1     | 0     | 0     | finishes                            | temporallyRelatedTo                 | 
| 2016_005_112_465537.owl             | overlapsStart                       | TemporalThing                       | Thing                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     |                                     | temporallyRelatedTo                 | 
| 2016_005_112_465537.owl             | hasProfessor                        | Organization                        | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 2     | isProfessorOf                       | hasEducationEmployee                | 
| 2016_005_112_465537.owl             | isTechnicalEmployeeOf               | Person                              | Organization                        | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 3     |                                     | isEmployeeOf                        | 
| 2016_005_112_465537.owl             | hasChiefTechnicalOfficer            | Organization                        | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 2     | isChiefTechnicalOfficerOf           | hasUppermanagementEmployee          | 
| 2016_005_112_465537.owl             | temporallyRelatedTo                 | TemporalThing                       | TemporalThing                       | 0     | 0     | 0     | 0     | 0     | 1     | 0     | 0     | 0     | temporallyRelatedTo                 |                                     | 
| 2016_005_112_465537.owl             | hasEventRelation                    | Thing                               | Actor                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 0     | isEventRelationOf                   | hasRelation                         | 
| 2016_005_112_465537.owl             | hasManager                          | Organization                        | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 2     | isManagerOf                         | hasEmployee                         | 
| 2016_005_112_465537.owl             | isFatherOf                          | Person                              | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 2     | 2     |                                     | isFamilyRelationOf                  | 
| 2016_005_112_465537.owl             | hasRepresentative                   | Organization                        | Person                              | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 2     | isRepresentativeOf                  | hasEmployee                         | 
| 2016_005_112_465537.owl             | hasAccessTo                         | ComputerAccountAsset                | Asset                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 1     | 0     |                                     |                                     | 
| 2016_005_112_465537.owl             | isBeneficiaryOrganizationOf         | Organization                        | Event                               | 0     | 0     | 0     | 0     | 0     | 0     | 0     | 3     | 0     |                                     | isEventRelationOf                   | 
