#! Version: 28/06/2019_11:36:29

# This file contains non-english words found when creating OPD.

Word                           ObjectProperty                                Filename                                
coparticipates                 coparticipatesWith                            dbpedia_2016-10.owl                     
tribus                         Tribus                                        dbpedia_2016-10.owl                     
foriegn                        hasForiegnKeyColumns                          ddm.owl                                 
27                             ObjectProperty_27                             ddm.owl                                 
delegatable                    isDelegatableTo                               Delegation.owl                          
perfomer                       perfomer                                      Demographic_RM.owl                      
folksonomy                     partOfFolksonomy                              DMRO-Annotation.owl                     
statevalue                     statevalueOf                                  dogont.owl                              
mereologically                 mereologically-coincides                      DOLCE-Lite.owl                          
parametrizes                   parametrizes                                  DUL.owl                                 
coparticipates                 coparticipatesWith                            DUL.owl                                 
lopd                           lopdLevel                                     ei2a.owl                                
pesonal                        pesonalIdentifierSystemLinkedTo               ei2a.owl                                
organiser                      organiser                                     ei2a.owl                                
gastro                         gastroType                                    ei2a.owl                                
hashtags                       hasHashtags                                   ei2a.owl                                
o:preceded                     RO:preceded_by                                expose.owl                              
i:is                           OBI:is_realized_by                            expose.owl                              
o:contained                    RO:contained_in                               expose.owl                              
o:transformation               RO:transformation_of                          expose.owl                              
o:contains                     RO:contains                                   expose.owl                              
i:achieves                     OBI:achieves_planned_objective                expose.owl                              
i:realizes                     OBI:realizes                                  expose.owl                              
o:part                         BFO:part_of                                   expose.owl                              
i:has                          OBI:has_role                                  expose.owl                              
o:is                           IAO:is_represented_as                         expose.owl                              
i:is                           OBI:is_concretization_of                      expose.owl                              
o:precedes                     RO:precedes                                   expose.owl                              
o:has                          BFO:has_part                                  expose.owl                              
o:transformed                  RO:transformed_into                           expose.owl                              
i:is                           OBI:is_concretized_as                         expose.owl                              
evaluatively                   evaluatively_comparable                       expression.owl                          
metadata                       hasMetadata                                   fiesta-iot.owl                          
homepage                       homepage                                      foaf.owl                                
homepage                       schoolHomepage                                foaf.owl                                
weblog                         weblog                                        foaf.owl                                
img                            img                                           foaf.owl                                
tipjar                         tipjar                                        foaf.owl                                
mbox                           mbox                                          foaf.owl                                
homepage                       workplaceHomepage                             foaf.owl                                
openid                         openid                                        foaf.owl                                
homepage                       accountServiceHomepage                        foaf.owl                                
homepage                       workInfoHomepage                              foaf.owl                                
dimention                      hasGameDimention                              gamemodel.rdf                           
meronym                        meronym                                       gold-2008.owl                           
hypernym                       hypernym                                      gold-2008.owl                           
wsdl                           wsdlInputMessageParts                         Grounding.owl                           
damls                          damlsParameter                                Grounding.owl                           
wsdl                           wsdlOutputs                                   Grounding.owl                           
wsdl                           wsdlInputs                                    Grounding.owl                           
wsdl                           wsdlOutputMessageParts                        Grounding.owl                           
wsdl                           wsdlOperation                                 Grounding.owl                           
day1                           isSpanningNightOfDay1                         HERO-TIME-v100.owl                      
parthood                       isProperParthoodTemporalParameterElementOf    HERO-TIME-v100.owl                      
parthood                       isParthoodIncludedObjectElementOf             HERO-TIME-v100.owl                      
day2                           day2HasSpanningNight                          HERO-TIME-v100.owl                      
parthood                       isProperParthoodIncludedObjectElementOf       HERO-TIME-v100.owl                      
parthood                       hasParthoodIncludingObjectElement             HERO-TIME-v100.owl                      
day2                           isSpanningNightOfDay2                         HERO-TIME-v100.owl                      
expr                           intEndsInDescribedByExpr                      HERO-TIME-v100.owl                      
expr                           calClockIntDescribedByCalClockIntExpr         HERO-TIME-v100.owl                      
parthood                       isParthoodTemporalParameterElementOf          HERO-TIME-v100.owl                      
day1                           day1HasSpanningNight                          HERO-TIME-v100.owl                      
expr                           calClockIntExprDescribesCalClockInt           HERO-TIME-v100.owl                      
expr                           properTimeIntervalApproximatelyDescribedByCalClockIntExpr HERO-TIME-v100.owl                      
parthood                       isProperParthoodIncludingObjectElementOf      HERO-TIME-v100.owl                      
parthood                       hasProperParthoodIncludedObjectElement        HERO-TIME-v100.owl                      
parthood                       hasParthoodIncludedObjectElement              HERO-TIME-v100.owl                      
expr                           intBeginsInDescribedByExpr                    HERO-TIME-v100.owl                      
expr                           calClockIntExprApproximatelyDescribesProperTimeInterval HERO-TIME-v100.owl                      
parthood                       hasParthoodTemporalParameterElement           HERO-TIME-v100.owl                      
parthood                       hasProperParthoodIncludingObjectElement       HERO-TIME-v100.owl                      
parthood                       isParthoodIncludingObjectElementOf            HERO-TIME-v100.owl                      
parthood                       hasProperParthoodTemporalParameterElement     HERO-TIME-v100.owl                      
dayof                          dayofWeek                                     icontact.owl                            
icontact                       icontactProperty                              icontact.owl                            
homepage                       schoolHomepage                                index.rdf                               
homepage                       workplaceHomepage                             index.rdf                               
openid                         openid                                        index.rdf                               
weblog                         weblog                                        index.rdf                               
img                            img                                           index.rdf                               
tipjar                         tipjar                                        index.rdf                               
homepage                       homepage                                      index.rdf                               
homepage                       accountServiceHomepage                        index.rdf                               
homepage                       workInfoHomepage                              index.rdf                               
mbox                           mbox                                          index.rdf                               
centret                        centretHead                                   instOntology.owl                        
impacton                       hasImpactonProperty                           iot-o-sosa.owl                          
impacton                       hasImpactonProperty                           iot-o.owl                               
pv6                            hasIPv6                                       iot-ontology.owl                        
object2                        hasObject2                                    IPDFull.owl                             
object1                        hasObject1                                    IPDFull.owl                             
mustbecomposedof               mustbecomposedof                              IPDFull.owl                             
object1                        hasObject1Attribute                           IPDFull.owl                             
lfor                           isKMLfor                                      iridlcontent.owl                        
figview                        hasFigview                                    iridlcontent.owl                        
sourced                        sourcedFrom                                   iridlcontent.owl                        
sfor                           isWMSfor                                      iridlcontent.owl                        
inist                          subjectInist                                  istexXML.owl                            
metrix                         subjectScienceMetrix                          istexXML.owl                            
explanandum                    hasExplanandum                                KnowledgeBaseExplanation.owl            
explanans                      hasExplanans                                  KnowledgeBaseExplanation.owl            
slor                           slorCommonProperties                          lom.owl                                 
interativity                   interativityLevel                             lom.owl                                 
technicalrequirement           technicalrequirementProperty                  lom.owl                                 
tipical                        tipicalAgeRange                               lom.owl                                 
metadata                       metaMetadata                                  lom.owl                                 
args                           oc_Args                                       lom.owl                                 
metametadata                   metametadataPropertiesCategory                lom.owl                                 
metadata                       hasAssociatedMetadataRecord                   lom.owl                                 
slor                           slorActionProperties                          lom.owl                                 
metadata                       metaMetadataContribution                      lom_ontology_ods.owl                    
metadata                       metaMetadataIdentifier                        lom_ontology_ods.owl                    
inherer                        inhererOf                                     MFOMD.owl                               
fiducials                      has_fiducials                                 MGEDOntology.owl                        
biosource                      has_biosource_type                            MGEDOntology.owl                        
contributer                    contributer                                   mod-ontology-09092016.owl               
sponsered                      sponseredBy                                   mod-ontology-09092016.owl               
contributer                    contributer                                   mod1-ontology-31Jul2015.owl             
sponsered                      sponseredBy                                   mod1-ontology-31Jul2015.owl             
soundmix                       hasSoundmix                                   movieontology.owl                       
